Date,SK하이닉스,SK하이닉스_증감,이수페타시스,이수페타시스_증감,LS ELECTRIC,LS ELECTRIC_증감,주성엔지니어링,주성엔지니어링_증감,삼성SDI,삼성SDI_증감,카카오,카카오_증감,리노공업,리노공업_증감,디아이,디아이_증감,대한전선,대한전선_증감,현대건설,현대건설_증감,HD현대일렉트릭,HD현대일렉트릭_증감,비에이치아이,비에이치아이_증감,산일전기,산일전기_증감,두산,두산_증감,HPSP,HPSP_증감,이오테크닉스,이오테크닉스_증감,원익IPS,원익IPS_증감,두산에너빌리티,두산에너빌리티_증감,와이씨켐,와이씨켐_증감,삼성에스디에스,삼성에스디에스_증감,테크윙,테크윙_증감,프로텍,프로텍_증감,피에스케이,피에스케이_증감,피에스케이홀딩스,피에스케이홀딩스_증감,파두,파두_증감,노타,노타_증감,티에프이,티에프이_증감,이엔에프테크놀로지,이엔에프테크놀로지_증감,두산퓨얼셀,두산퓨얼셀_증감,코리아써키트,코리아써키트_증감,티엘비,티엘비_증감,한텍,한텍_증감
2026-03-03,15.99,-,7.08,-,6.51,-,6.19,-,4.99,-,4.71,-,4.62,-,3.98,-,3.93,-,3.79,-,3.66,-,3.2,-,2.77,-,2.67,-,2.67,-,2.66,-,2.29,-,2.25,-,2.04,-,2.01,-,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-04,14.72,🔵▼ 5,6.83,0,6.33,0,6.97,0,4.68,0,3.57,🔵▼ 188,5.19,0,2.37,🔵▼ 488,3.75,0,3.71,0,3.68,0,3.34,0,2.68,0,2.58,0,2.75,0,3.97,🔴▲ 28,2.41,0,2.2,0,2.08,0,1.96,0,3.01,🔴▲ 628,,,,,,,,,,,,,,,,,,,,,,
2026-03-05,15.25,0,6.73,0,6.36,0,7.29,0,4.62,0,3.42,0,5.38,0,1.3,🔵▼ 335,3.49,0,3.58,0,3.73,0,3.13,0,2.61,0,1.54,🔵▼ 9,2.77,0,3.9,0,2.4,0,2.09,0,2.0,0,1.97,0,5.39,🔴▲ 361,1.88,0,,,,,,,,,,,,,,,,,,,,
2026-03-06,15.68,🔴▲ 11,4.48,🔵▼ 221,6.2,0,7.88,0,4.49,0,2.28,🔵▼ 202,5.64,0,1.41,0,3.4,0,3.54,0,3.66,0,2.96,0,2.55,0,0.8,🔵▼ 7,2.85,0,4.19,0,2.58,0,2.05,0,1.97,0,0.89,🔵▼ 61,6.1,0,0.0,🔵▼ 382,2.34,🔴▲ 385,2.15,🔴▲ 212,,,,,,,,,,,,,,,,
2026-03-09,14.93,0,4.3,0,6.04,0,7.28,🔵▼ 65,4.56,0,1.49,🔵▼ 171,5.72,0,1.43,0,3.42,0,3.74,0,3.5,0,4.29,🔴▲ 108,2.53,0,0.0,🔵▼ 8,2.95,0,4.13,0,2.6,0,2.15,0,1.96,0,0.84,0,6.35,0,0.0,🔵▼ 382,2.48,0,2.25,0,2.18,🔴▲ 166,,,,,,,,,,,,,,
2026-03-10,14.52,0,4.18,0,6.28,0,6.98,0,4.64,0,1.5,0,5.72,0,1.35,0,3.49,0,3.75,0,3.52,0,4.75,0,2.56,0,0.0,🔵▼ 8,2.88,0,4.05,0,2.52,0,2.27,0,1.94,0,0.88,0,6.57,0,0.0,🔵▼ 382,2.28,0,2.39,0,2.12,0,,,,,,,,,,,,,,
2026-03-11,15.36,0,4.33,0,6.29,0,7.7,0,4.54,0,1.45,0,5.45,0,1.38,0,3.4,0,3.67,0,3.44,0,4.81,0,2.55,0,0.0,🔵▼ 8,2.85,0,3.87,0,2.41,0,2.28,0,2.1,0,0.85,0,6.04,0,0.0,🔵▼ 382,2.17,0,2.23,0,1.98,0,,,,,,,,,,,,,,
2026-03-12,16.22,🔴▲ 5,3.23,🔵▼ 98,6.33,0,7.19,🔵▼ 40,4.54,0,1.19,🔵▼ 53,1.78,🔵▼ 329,0.85,🔵▼ 166,3.51,0,3.63,0,3.47,0,4.64,0,2.55,0,0.0,🔵▼ 8,2.74,0,3.72,0,2.32,0,2.78,🔴▲ 55,0.57,🔵▼ 650,0.86,0,5.68,🔵▼ 42,0.0,🔵▼ 382,2.09,0,2.79,🔴▲ 78,1.98,0,3.47,"🔴▲ 1,009",3.06,🔴▲ 557,1.99,🔴▲ 37,,,,,,,,
2026-03-13,15.68,0,3.17,0,6.44,0,7.04,0,4.51,0,1.17,0,1.83,0,0.82,0,3.47,0,3.77,0,3.46,0,4.58,0,2.51,0,0.0,🔵▼ 8,2.7,0,3.8,0,2.36,0,2.83,0,0.57,0,0.85,0,5.43,0,0.0,🔵▼ 382,2.16,0,2.72,0,2.07,0,4.11,0,2.94,0,1.96,0,2.1,0,,,,,,
2026-03-16,15.39,0,3.13,0,6.52,0,7.06,0,4.39,0,1.18,0,1.77,0,0.83,0,3.45,0,3.99,0,3.42,0,4.77,0,2.47,0,0.0,🔵▼ 8,2.67,0,3.81,0,2.29,0,2.92,0,0.59,0,0.84,0,5.51,0,0.0,🔵▼ 382,2.27,0,2.74,0,2.07,0,4.24,0,2.84,0,1.91,0,2.1,0,,,,,,
2026-03-17,16.27,0,3.05,0,6.32,0,6.76,0,4.28,0,1.16,0,1.73,0,0.92,0,3.34,0,3.83,0,3.29,0,4.62,0,2.37,0,0.0,🔵▼ 8,2.72,0,3.76,0,2.3,0,2.86,0,0.56,0,0.82,0,5.51,0,0.0,🔵▼ 382,2.59,0,2.9,0,2.14,0,4.27,0,2.97,0,1.96,0,1.93,0,,,,,,
2026-03-18,16.97,🔴▲ 7,3.33,0,6.63,0,6.11,🔵▼ 70,4.38,0,1.19,0,1.71,0,0.92,0,3.39,0,3.89,0,3.41,0,4.82,0,2.45,0,0.0,🔵▼ 8,2.75,0,3.47,🔵▼ 5,2.07,🔵▼ 18,2.85,0,0.58,0,0.75,🔵▼ 7,4.6,🔵▼ 123,0.0,🔵▼ 382,2.71,🔴▲ 22,2.93,🔴▲ 19,1.95,0,4.17,0,2.85,0,1.91,0,1.93,0,,,,,,
2026-03-19,17.53,0,3.46,0,6.88,0,5.97,0,4.33,0,1.14,0,1.72,0,1.21,🔴▲ 93,3.36,0,3.9,0,3.39,0,4.6,0,2.57,0,0.0,🔵▼ 8,2.96,0,3.43,0,2.07,0,2.78,0,0.54,0,0.73,0,3.85,🔵▼ 110,0.0,🔵▼ 382,2.74,0,2.91,0,0.79,🔵▼ 194,3.95,0,2.79,0,1.9,0,1.99,0,,,,,,
2026-03-20,17.17,🔴▲ 2,3.62,0,7.28,0,5.65,🔵▼ 37,4.35,0,1.12,0,1.54,🔵▼ 20,1.26,0,3.31,0,3.93,0,3.37,0,4.09,🔵▼ 55,2.54,0,0.0,🔵▼ 8,3.1,0,3.48,0,1.84,🔵▼ 18,2.78,0,0.0,🔵▼ 230,0.71,0,2.41,🔵▼ 245,0.0,🔵▼ 382,3.28,🔴▲ 45,2.9,0,0.0,🔵▼ 146,3.97,0,2.97,0,1.64,🔵▼ 39,2.0,0,1.9,🔴▲ 77,,,,
2026-03-23,17.02,🔴▲ 3,3.48,0,7.26,0,6.03,🔵▼ 95,4.08,🔵▼ 5,0.95,🔵▼ 34,0.49,🔵▼ 99,1.25,0,3.32,0,3.73,0,3.31,0,4.06,🔵▼ 16,2.1,🔵▼ 38,0.0,🔵▼ 8,3.01,0,3.56,0,1.66,🔵▼ 19,2.82,0,0.0,🔵▼ 230,0.56,🔵▼ 10,2.05,🔵▼ 59,0.0,🔵▼ 382,4.1,🔴▲ 98,3.17,🔴▲ 21,0.0,🔵▼ 146,3.12,🔵▼ 181,3.24,0,1.57,0,1.79,0,2.98,🔴▲ 186,2.63,🔴▲ 145,2.11,🔴▲ 234
2026-03-24,17.32,0,3.43,0,6.92,0,6.13,🔵▼ 77,4.2,0,0.95,0,0.49,0,1.19,0,3.25,0,3.55,0,3.32,0,3.82,0,2.1,0,0.0,🔵▼ 8,2.98,0,3.64,0,1.86,0,2.67,0,0.0,🔵▼ 230,0.56,0,1.96,0,0.0,🔵▼ 382,3.93,0,3.0,0,0.0,🔵▼ 146,2.99,0,3.05,0,1.7,0,1.69,0,3.28,🔴▲ 27,2.8,🔴▲ 30,2.44,0
2026-03-25,17.32,"0 | ₩1,000,000 (+1.42%)",3.43,"0 | ₩119,900 (-0.25%)",6.92,"0 | ₩838,000 (+3.08%)",6.13,"0 | ₩74,400 (-3.88%)",4.2,"0 | ₩401,500 (+1.01%)",0.95,"0 | ₩49,100 (+1.87%)",0.49,"0 | ₩106,700 (-0.56%)",1.19,"0 | ₩37,700 (+5.90%)",3.25,"0 | ₩30,100 (+3.97%)",3.55,"0 | ₩157,000 (+4.74%)",3.32,"0 | ₩983,000 (+6.27%)",3.82,"0 | ₩103,500 (+4.33%)",2.1,"0 | ₩159,300 (+4.25%)",0.0,"🔵▼ 8 | ₩1,257,000 (+9.21%)",2.98,"0 | ₩49,650 (+1.85%)",3.64,"0 | ₩453,000 (+6.97%)",1.86,"0 | ₩129,900 (-3.56%)",2.67,"0 | ₩102,600 (+2.50%)",0.0,"🔵▼ 230 | ₩26,900 (+5.28%)",0.56,"0 | ₩158,200 (+0.70%)",1.96,"0 | ₩53,600 (+0.56%)",0.0,"🔵▼ 382 | ₩62,100 (+14.58%)",3.93,"0 | ₩84,950 (+6.45%)",3.0,"0 | ₩103,300 (+1.77%)",0.0,"🔵▼ 146 | ₩55,950 (-1.15%)",2.99,"0 | ₩42,550 (+5.71%)",3.05,"0 | ₩65,000 (+6.38%)",1.7,"0 | ₩53,900 (-6.10%)",1.69,"0 | ₩39,200 (+2.89%)",3.28,"0 | ₩80,400 (+23.31%)",2.8,"0 | ₩78,700 (+6.21%)",2.44,"0 | ₩50,500 (-5.08%)"
